city_name,city_page_url,price_trend_url
baran,https://housing.com/in/buy/real-estate-baran,https://housing.com/price-trends/property-rates-for-buy-in-baran_rajasthan-P1wangbvt21wtzq6u
burdwan,https://housing.com/in/buy/real-estate-burdwan,https://housing.com/price-trends/property-rates-for-buy-in-bardhaman_west_bengal-P2w8uo1vfdp697ja7
bareilly_uttar_pradesh,https://housing.com/in/buy/real-estate-bareilly_uttar_pradesh,https://housing.com/price-trends/property-rates-for-buy-in-bareilly_uttar_pradesh-P4o40rf16g5lk966r
bargarh,https://housing.com/in/buy/real-estate-bargarh,https://housing.com/price-trends/property-rates-for-buy-in-bargarh_odisha-P5amwvg2x370w6fj2
barmer_rajasthan,https://housing.com/in/buy/real-estate-barmer_rajasthan,https://housing.com/price-trends/property-rates-for-buy-in-barmer_rajasthan-P68jtjwrw784fmcs1
barnala_1,https://housing.com/in/buy/real-estate-barnala_1,https://housing.com/price-trends/property-rates-for-buy-in-barnala_punjab-P1u3wehqmcvh0dpm5
barpeta,https://housing.com/in/buy/real-estate-barpeta,https://housing.com/price-trends/property-rates-for-buy-in-barpeta_assam-P41v832vns5gden0h
barwani,https://housing.com/in/buy/real-estate-barwani,https://housing.com/price-trends/property-rates-for-buy-in-barwani_madhya_pradesh-P2d5ud49wj8ao0b75
bastar,https://housing.com/in/buy/real-estate-bastar,https://housing.com/price-trends/property-rates-for-buy-in-bastar_chhattisgarh-P4m8gtc2wkef2wuyx
basti,https://housing.com/in/buy/real-estate-basti,https://housing.com/price-trends/property-rates-for-buy-in-basti_uttar_pradesh-P4cbel4xedqal3893
bathinda_punjab,https://housing.com/in/buy/real-estate-bathinda_punjab,https://housing.com/price-trends/property-rates-for-buy-in-bathinda_punjab-P3hhp5emsmrhl81tl
bauda,https://housing.com/in/buy/real-estate-bauda,https://housing.com/price-trends/property-rates-for-buy-in-bauda_odisha-P1vgopxdmmtjgk6kk
beawar,https://housing.com/in/buy/real-estate-beawar,https://housing.com/price-trends/property-rates-for-buy-in-beawar_rajasthan-P52n3620pknqzmmey
beed,https://housing.com/in/buy/real-estate-beed,https://housing.com/price-trends/property-rates-for-buy-in-beed_maharashtra-Pvnza5t9vhaon9pn
begusarai,https://housing.com/in/buy/real-estate-begusarai,https://housing.com/price-trends/property-rates-for-buy-in-begusarai_bihar-P57tjhdbiq0qfd09x
belgaum,https://housing.com/in/buy/real-estate-belgaum,https://housing.com/price-trends/property-rates-for-buy-in-belgaum_karnataka-Pm39cj35nniey413
bellary,https://housing.com/in/buy/real-estate-bellary,https://housing.com/price-trends/property-rates-for-buy-in-bellary_karnataka-P4qtvz7e6ot1m67vk
bemetara,https://housing.com/in/buy/real-estate-bemetara,https://housing.com/price-trends/property-rates-for-buy-in-bemetara_chhattisgarh-P1h7vnrd0z05heg5r
berhampore,https://housing.com/in/buy/real-estate-berhampore,https://housing.com/price-trends/property-rates-for-buy-in-berhampore_west_bengal-P3ksk351a22f3kzfq
bettiah,https://housing.com/in/buy/real-estate-bettiah,https://housing.com/price-trends/property-rates-for-buy-in-bettiah_bihar-P5zf2e0utps269jt2
betul,https://housing.com/in/buy/real-estate-betul,https://housing.com/price-trends/property-rates-for-buy-in-betul_madhya_pradesh-P20asistorsc26sig
bhadohi,https://housing.com/in/buy/real-estate-bhadohi,https://housing.com/price-trends/property-rates-for-buy-in-sant_ravidas_nagar_uttar_pradesh-P604o44hvtu0x34et
bhadrak,https://housing.com/in/buy/real-estate-bhadrak,https://housing.com/price-trends/property-rates-for-buy-in-bhadrak_odisha-P72jzkgl2i2w68a5s
bhagalpur,https://housing.com/in/buy/real-estate-bhagalpur,https://housing.com/price-trends/property-rates-for-buy-in-bhagalpur_bihar-Pcpm505haq3yu8cz
bhandara,https://housing.com/in/buy/real-estate-bhandara,https://housing.com/price-trends/property-rates-for-buy-in-bhandara_maharashtra-Pkmo7njpvr92fxso
bharatpur,https://housing.com/in/buy/real-estate-bharatpur,https://housing.com/price-trends/property-rates-for-buy-in-bharatpur_rajasthan-P1jtn1890yidnb6n3
bharuch_india,https://housing.com/in/buy/real-estate-bharuch_india,https://housing.com/price-trends/property-rates-for-buy-in-bharuch_gujarat-P1io3jyxhpsnvo3fr
bhatapara,https://housing.com/in/buy/real-estate-bhatapara,https://housing.com/price-trends/property-rates-for-buy-in-bhatapara_chhattisgarh-P5ug1bjaxx48reg9g
bhavnagar_1,https://housing.com/in/buy/real-estate-bhavnagar_1,https://housing.com/price-trends/property-rates-for-buy-in-bhavnagar_gujarat-P1jaqg8vj3cujy29h
bhilai,https://housing.com/in/buy/real-estate-bhilai,https://housing.com/price-trends/property-rates-for-buy-in-bhilai_chhattisgarh-P4m60xnsvx6x1pl2q
bhilwara,https://housing.com/in/buy/real-estate-bhilwara,https://housing.com/price-trends/property-rates-for-buy-in-bhilwara_rajasthan-P302uiy1r4q1jv85j
bhimavaram,https://housing.com/in/buy/real-estate-bhimavaram,https://housing.com/price-trends/property-rates-for-buy-in-bhimavaram_andhra_pradesh-P57pp4xezf0t4wyzk
bhind,https://housing.com/in/buy/real-estate-bhind,https://housing.com/price-trends/property-rates-for-buy-in-bhind_madhya_pradesh-P1d5tvlq4dkof6swz
bhiwadi,https://housing.com/in/buy/real-estate-bhiwadi,https://housing.com/price-trends/property-rates-for-buy-in-bhiwadi_rajasthan-P5j1i929c4hzrh94h
bhiwani,https://housing.com/in/buy/real-estate-bhiwani,https://housing.com/price-trends/property-rates-for-buy-in-bhiwani_haryana-P11swago0z6akflcw
bhojpur,https://housing.com/in/buy/real-estate-bhojpur,https://housing.com/price-trends/property-rates-for-buy-in-bhojpur_bihar-P6atxr4w7pv30vr6a
